"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"270","0","1","1","0","0","23009.6","99","16653.4","468","40242.3","2497"
"271","0","1","1","0","0","14494","86.7","97","185.8","14871.6","2497"
"272","0","1","1","0","0","10961.3","64.7","172.7","165.1","11370.4","2497"
"273","0","1","1","0","0","11890.2","56.7","63.3","137.2","12152.2","2497"
"274","0","1","1","0","0","9536","55.7","160.5","185.1","9943.7","2497"
"275","0","1","1","0","0","9115","64.8","111.6","142.7","9442.3","2497"
"276","0","1","1","0","0","13420.5","45.2","87.1","151.5","13712.1","2497"
"277","0","1","1","0","0","11285.8","47","66.1","141.4","11547.5","2497"
"278","0","1","1","0","0","8927.5","45.3","72","134.1","9185.7","2497"
"279","0","1","1","0","0","10161.5","49.2","165.8","195.8","10578.4","2497"
"280","0","1","1","0","0","11329.9","52.5","65.2","138.9","11592.8","2497"
"281","0","1","1","0","0","10841.4","51.6","63.4","138.4","11100.2","2497"
"282","0","1","1","0","0","10823.6","57.8","62.5","134.1","11083.5","2497"
"283","0","1","1","0","0","13127.7","47.2","66.2","139.1","13386.4","2497"
"284","0","1","1","0","0","11810.2","53.9","64.9","131","12065.9","2497"
"285","0","1","1","0","0","12643.4","54","134.3","152.5","12991.2","2497"
"286","0","1","1","0","0","10838.2","56","141.5","142.6","11183.5","2497"
"287","0","1","1","0","0","11056.8","55.1","63","137.4","11317.8","2497"
"288","0","1","1","0","0","10259.5","53.6","79.1","206","10604.6","2497"
"289","0","1","1","0","0","10786.2","54.2","60.5","133.4","11040","2497"
"290","0","1","1","0","0","10777.7","50","164.6","187.1","11186","2497"
"291","0","1","1","0","0","9288.6","56.7","2186.2","17706.6","29245.7","2497"
"292","0","1","1","0","0","11117","60.5","196.6","249.8","11632.3","2497"
"293","0","1","1","0","0","10024.6","51.8","348.8","260.5","10693.6","2497"
"294","0","1","1","0","0","9551.4","50.3","70.1","125.9","9804.4","2497"
"295","0","1","1","0","0","10991.8","59","66.1","135.4","11260.2","2497"
"296","0","1","1","0","0","12132.9","89.5","83","161","12473.6","2497"
"297","0","1","1","0","0","12966.5","71.7","338","137.3","13520.6","2497"
"298","0","1","1","0","0","15420.9","59.3","251.3","140.3","15878.7","2497"
"299","0","1","1","0","0","10245.1","53.4","90","183","10580.5","2497"
"300","0","1","1","0","0","11410.7","55.6","60.6","124.8","11657","2497"
"301","0","1","1","0","0","18364.8","69.1","180.4","252.8","18874.5","2497"
"302","0","1","1","0","0","10150.5","51.8","79.4","141.1","10430.7","2497"
"303","0","1","1","0","0","9401.1","47.5","81.7","148.4","9685.9","2497"
"304","0","1","1","0","0","9137.6","45.9","74.9","202.3","9467","2497"
"305","0","1","1","0","0","13914.3","61.2","69.8","131.1","14184.7","2497"
"306","0","1","1","0","0","12527.1","51.6","295.1","225.5","13106","2497"
"307","0","1","1","0","0","11823.3","331.2","90.3","155","12406.8","2497"
"308","0","1","1","0","0","11442.7","287.4","91.4","157.9","11986.2","2497"
"309","0","1","1","0","0","10405.9","47.2","64.4","143","10665.5","2497"
"310","0","1","1","0","0","12422.7","46.2","75.9","145.2","12697.4","2497"
"311","0","1","1","0","0","12015.6","53.5","68.4","154.4","12297.8","2497"
"312","0","1","1","0","0","11682.2","51","66.1","131","11935.9","2497"
"313","0","1","1","0","0","11567.1","55.2","70.7","154.6","11853.8","2497"
"314","0","1","1","0","0","11090.3","53.6","89.7","170.6","11411","2497"
"315","0","1","1","0","0","12431.8","80.7","94.4","167.7","12783.9","2497"
"316","0","1","1","0","0","11175.1","50.9","67.4","141.3","11440.6","2497"
"317","0","1","1","0","0","11921.8","54.8","95","147.1","12227.2","2497"
"318","0","1","1","0","0","8931.1","54.6","70.1","167.4","9230.9","2497"
"319","0","1","1","0","0","11103.1","52","62.7","127.8","11350.7","2497"
"320","0","1","1","0","0","11104.9","53.3","59.7","150.2","11373.8","2497"
"321","0","1","1","0","0","10781.5","55.5","63.6","136.4","11042.4","2497"
"322","0","1","1","0","0","11209.4","58.4","58.6","127.8","11460.3","2497"
"323","0","1","1","0","0","11406.8","48.6","136.3","153.1","11752.6","2497"
"324","0","1","1","0","0","11462.4","54","66.8","141","11730.5","2497"
"325","0","1","1","0","0","13202.2","48.6","64.3","128.4","13449.6","2497"
"326","0","1","1","0","0","10591.6","53.1","60.1","133.1","10843.7","2497"
"327","0","1","1","0","0","11109.5","54.2","59.4","129.8","11358.8","2497"
"328","0","1","1","0","0","9199.1","59.3","59","127.2","9449.6","2497"
"329","0","1","1","0","0","12037.1","54.6","54.6","121.5","12272.9","2497"
"330","0","1","1","0","0","14801.8","58.2","61.9","137.7","15065.6","2497"
"331","0","1","1","0","0","20702.8","63.3","157.8","289.9","21221.2","2497"
"332","0","1","1","0","0","17546.2","49.2","65.1","138.1","17804.9","2497"
"333","0","1","1","0","0","20933.9","91.9","221.5","236.6","21492.9","2497"
"334","0","1","1","0","0","18331.7","81.8","143.7","193.2","18761.8","2497"
"335","0","1","1","0","0","12118.4","47.6","203.9","274.6","12652","2497"
"336","0","1","1","0","0","12953","45.8","85","171.2","13263.3","2497"
"337","0","1","1","0","0","10638.5","51.6","60.1","123.9","10878.6","2497"
"338","0","1","1","0","0","9825","59.9","133.8","152.2","10176.9","2497"
"339","0","1","1","0","0","9998.5","52.4","80.5","165.5","10303.3","2497"
"340","0","1","1","0","0","9058.3","50.2","80.5","154.6","9357.2","2497"
"341","0","1","1","0","0","9971.3","45.5","141.5","237.3","10402.9","2497"
"342","0","1","1","0","0","10924.3","67.7","193.3","328","11522.9","2497"
"343","0","1","1","0","0","11272.3","65.2","97.5","123.7","11565.9","2497"
"344","0","1","1","0","0","15685.9","238.8","182.7","166.8","16281.9","2497"
"345","0","1","1","0","0","13237.4","63.2","64.7","135.7","13506.4","2497"
"346","0","1","1","0","0","11842.6","63.1","82.8","274.1","12268.3","2497"
"347","0","1","1","0","0","10996.5","65.9","66.9","218.7","11353.9","2497"
"348","0","1","1","0","0","10860","60.4","68.3","253.7","11248.7","2497"
"349","0","1","1","0","0","9263","63","64.3","138","9534.2","2497"
"350","0","1","1","0","0","11502.7","58.7","66.9","228.8","11863.2","2497"
"351","0","1","1","0","0","11099.8","62.6","76.9","225.3","11469.9","2497"
"352","0","1","1","0","0","11319.3","61.9","65.1","166.5","11619.4","2497"
"353","0","1","1","0","0","10474.9","82.2","79.1","107.1","10748.6","2497"
"354","0","1","1","0","0","11793.6","50.1","160","218.3","12227.8","2497"
"355","0","1","1","0","0","10676.9","56.9","14126.6","3256.6","28122.9","2497"
"356","0","1","1","0","0","13115.2","67","74.4","132.7","13395.3","2497"
"357","0","1","1","0","0","12735.8","88.7","82","214.9","13127.4","2497"
"358","0","1","1","0","0","10044.8","48.7","76.7","138.5","10316.1","2497"
"359","0","1","1","0","0","9030.2","47.3","78.9","144.9","9309","2497"
"360","0","1","1","0","0","9146.6","39.1","72","168.4","9433.5","2497"
"361","0","1","1","0","0","9120.6","46.1","95.6","131.1","9400.8","2497"
"362","0","1","1","0","0","10754.4","45.7","167.6","142.4","11116.8","2497"
"363","0","1","1","0","0","9241.5","66.8","83.6","165.2","9564","2497"
